fips,state,county_state,number_of_food_insecure_persons_overall,number_of_food_insecure_children,percent_of_all_people_in_poverty_2023,percent_of_all_people_in_poverty_90_percent_confidence_inrerval_lower_bound,percent_of_people_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,percent_of_childen_ages_0_17_in_poverty_2023,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_lower_bound,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,all_people_in_poverty_2023_90_percent_confidence_interval_lower_bound,all_people_in_poverty_2023_90_percent_confidence_interval_upper_bound,children_under_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_lower_bound,childen_ages_0_17_in_poverty_2023_upper_bound,percent_all_people_in_poverty_2023,lower_bound_all_people_in_poverty_2023,upper_bound_all_people_in_poverty_2023,percent_children_ages_0_17_in_poverty_2023,lower_bound_children_ages_0_17_in_poverty_2023,upper_bound_children_ages_0_17_in_poverty_2023,unemployed_2000,unemployment_rate_2000,unemployed_2001,unemployment_rate_2001,unemployed_2002,unemployment_rate_2002,unemployed_2003,unemployment_rate_2003,unemployed_2004,unemployment_rate_2004,unemployed_2005,unemployment_rate_2005,unemployed_2006,unemployment_rate_2006,unemployed_2007,unemployment_rate_2007,unemployed_2008,unemployment_rate_2008,unemployed_2009,unemployment_rate_2009,unemployed_2010,unemployment_rate_2010,unemployed_2011,unemployment_rate_2011,unemployed_2012,unemployment_rate_2012,unemployed_2013,unemployment_rate_2013,unemployed_2014,unemployment_rate_2014,unemployed_2015,unemployment_rate_2015,unemployed_2016,unemployment_rate_2016,unemployed_2017,unemployment_rate_2017,unemployed_2018,unemployment_rate_2018,unemployed_2019,unemployment_rate_2019,unemployed_2020,unemployment_rate_2020,unemployed_2021,unemployment_rate_2021,unemployed_2022,unemployment_rate_2022,unemployed_2023,unemployment_rate_2023,median_household_income_2022,med_hh_income_percent_of_state_total_2022
35035,NM,Otero,12200,4060,19.4,NA,NA,30.8,NA,NA,16.1,22.7,24.4,37.2,NA,NA,NA,NA,NA,NA,1307,5.4,1312,5.4,1387,5.6,1536,6.1,1349,5.1,1328,5,1090,4.2,935,3.6,1078,4.2,1622,6.3,1721,6.9,1610,6.6,1599,6.4,1613,6.4,1536,6.2,1574,6.3,1573,6.1,1521,6,1215,4.9,1257,5,1983,7.9,1731,6.9,1050,4.2,1003,4,52787,88.2
35051,NM,Sierra,2520,590,23.5,NA,NA,35.4,NA,NA,18,29,23.1,47.7,NA,NA,NA,NA,NA,NA,236,4.5,252,4.7,284,5.3,293,5.6,300,5.7,294,5.5,237,4.4,185,3.4,227,3.9,319,5.4,352,8.8,368,9.5,382,9.6,390,9.7,360,9.1,373,9.2,349,8.5,324,7.7,286,7,266,6.8,353,8.7,343,8.4,236,6,232,6,40420,67.5
48043,TX,Brewster,1580,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,10.2,17.2,19.8,13.6,26,180,3.9,191,4,232,4.8,245,4.8,234,4.3,200,3.8,187,3.5,175,3.4,189,3.7,261,5.1,270,5.5,279,5.7,230,5.1,232,5.6,191,4.7,155,4,149,3.8,139,3.5,135,3.4,121,2.9,271,6.6,193,4.6,146,3.5,143,3.2,52388,72.5
48047,TX,Brooks,1880,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,22.2,37.2,45,30.4,59.6,199,6.9,185,5.9,243,7.6,270,8.2,244,7.5,212,6.8,191,6.3,167,5.4,174,5.3,309,9.3,312,12,296,11,236,8.7,251,9.1,212,7.8,260,10,289,11.8,201,8.3,157,6.5,132,5.1,276,10.7,227,9.1,144,6.1,127,5.5,35359,48.9
48061,TX,Cameron,95060,31010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,21.6,25.4,33.9,30,37.8,9005,7.1,10248,7.8,12412,9,13593,9.6,12390,8.7,10852,7.7,9551,6.7,8561,6,9738,6.7,14703,9.7,18212,11.2,19633,11.8,16987,10.2,16750,10,14029,8.4,11708,7.2,11942,7.2,11552,7,10213,6.2,9127,5.5,17233,10.1,14100,8,10216,5.7,9816,5.4,49583,68.6
48105,TX,Crockett,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,11.6,19,21.1,14.4,27.8,78,3.8,71,3.5,94,4.5,89,4.1,80,3.8,76,3.7,71,3.5,62,3,64,2.9,195,8.5,149,8.6,118,6.9,88,5,97,5.2,74,3.8,115,6,131,7.5,68,4.1,48,3,47,2.9,138,8.9,98,6.6,57,4,50,3.3,71851,99.4
48109,TX,Culberson,440,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,15.6,25.4,33.6,23,44.2,86,5.8,73,4.7,96,6,89,5.6,82,5.3,66,4,52,3.2,48,2.7,52,3,71,3.9,74,7.2,73,7.2,59,6,52,5.1,43,4.2,44,4.2,41,4.1,34,3.7,30,3.1,43,4.2,74,6.6,52,4.8,33,2.8,40,3.2,52160,72.2
48127,TX,Dimmit,2600,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3,21.8,32.8,36.3,25.8,46.8,340,8.8,300,7.7,370,9.2,401,9.4,360,9,318,8.3,295,7.7,252,6.4,262,6.6,419,10,408,10.6,392,8,333,5.8,342,5.1,293,3.8,334,4.7,446,7.1,328,5.1,221,3,187,2.5,412,6.4,329,5.5,238,3.9,203,3.2,44312,61.3
48131,TX,Duval,2470,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,23.1,35.1,42.8,31.5,54.1,357,7.1,335,6.4,465,9.2,442,8.4,363,6.9,328,6.2,288,5.5,255,5,278,5.4,574,10.9,590,11.7,507,9.7,379,7,356,6.4,312,5.6,426,8.1,535,10.9,369,7.7,265,5.3,219,4.5,587,12.2,438,8,228,4.5,219,4.4,40539,56.1
48137,TX,Edwards,280,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,14.8,24.6,34.7,23.5,45.9,42,4.4,47,4.5,55,5.1,49,4.3,45,4.1,42,4.1,42,4.4,40,4,39,3.7,76,7,74,7.1,67,6.8,59,6.4,53,5.9,38,4.4,40,4.6,40,4.6,29,3.2,25,2.9,24,2.3,44,3.6,55,4.3,35,2.9,31,2.5,50752,70.2
48141,TX,El Paso,174430,50650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,17,20,23.8,20.7,26.9,18831,6.8,20003,7.3,23061,8.1,25414,8.8,21864,7.6,20782,7.1,19772,6.8,17220,5.9,18387,6.2,27159,8.8,31562,9.2,33999,9.8,29476,8.5,27644,8,22405,6.5,17827,5.2,17334,5,16377,4.7,15133,4.3,13749,3.8,30016,8.3,22557,6.2,16016,4.3,16620,4.4,53441,73.9
48163,TX,Frio,3760,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,19.5,31.7,36.2,24.8,47.6,381,6.2,406,6.5,486,7.7,520,7.9,457,7,391,6.1,356,5.5,322,4.9,370,5.4,555,7.4,557,7.3,534,6.7,433,5,437,4.7,374,3.6,379,3.9,428,4.9,369,4,290,2.9,272,2.6,540,5.7,455,4.8,326,3.4,305,3.3,46769,64.7
48215,TX,Hidalgo,208140,69780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,25.5,28.3,37.3,34.7,39.9,19592,9.2,21048,9.6,24099,10.4,25569,10.4,23146,9.1,20946,8,19819,7.5,18029,6.6,20356,7.2,31106,10.5,37638,11.8,38992,11.9,34481,10.5,34471,10.4,29446,8.9,26424,8,26393,7.8,25608,7.5,22906,6.6,21913,6.3,41945,11.7,33420,9.1,24479,6.6,23072,6.1,48825,67.6
48229,TX,Hudspeth,770,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,23.8,40.2,40.5,25.6,55.4,60,4.5,70,5.3,98,7.6,109,7.9,90,6.6,94,7,100,7,78,5.1,63,4,93,5.4,113,8,116,8.4,98,7.4,91,7,80,6.4,73,5.7,92,6,96,5.8,83,4.6,80,4.3,150,8.1,107,5.7,76,4,72,3.8,39582,54.8
48243,TX,Jeff Davis,420,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,9.8,15.8,23.1,13.3,32.9,45,3.9,45,3.7,58,4.5,56,4.1,50,3.8,47,3.9,49,4.1,39,3.3,44,3.7,57,4.7,63,4.9,64,5.1,59,4.9,48,4.1,42,3.7,36,3.3,32,3,34,3.2,31,2.9,30,2.9,49,5.1,44,4.3,36,3.5,32,3.2,58285,80.6
48247,TX,Jim Hogg,1190,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,19.2,30,36.6,26,47.2,133,6.1,105,4.8,148,6.2,151,6.1,127,5,127,4.8,117,4.3,105,3.8,105,3.8,232,7.7,241,10.3,208,8.9,153,6.5,166,7.2,135,6.1,147,7.2,186,9.6,139,7.3,107,5.7,90,4.8,179,9.6,161,8.6,98,5.4,87,4.7,43782,60.6
48261,TX,Kenedy,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,11.3,18.5,20.8,14,27.6,7,3.4,7,3.4,10,4.7,9,3.9,10,4.2,7,2.8,7,2.9,7,3,8,3.4,14,5.9,15,6.8,16,6.7,13,5.1,12,4.1,10,3,9,3.2,10,4.6,8,3.3,9,3.7,8,3.5,10,5.6,11,5.9,9,6.2,9,7.1,43274,59.9
48271,TX,Kinney,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,26,26,17.7,34.3,92,7.6,86,6.8,107,8,110,7.7,96,6.5,89,6.2,78,5.9,65,4.8,73,5.3,111,7.7,143,11.2,133,10.5,110,8.7,117,9.6,90,7.3,76,6.4,67,5.8,65,5.6,59,4.4,48,3.5,78,6,70,5.6,61,4.8,58,4.6,52609,72.8
48283,TX,La Salle,1420,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,20.5,33.7,31.6,21.4,41.8,158,7.2,151,6.8,189,8.4,184,7.8,156,6.7,148,5.7,140,5.1,136,4.9,157,5.4,270,9.2,247,9.1,219,7,163,4.4,158,3.8,143,3.1,179,4.2,200,5.1,154,3.7,111,2.4,105,2.4,251,6.7,163,4.3,119,2.9,105,2.6,40555,56.1
48311,TX,McMullen,90,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,9.3,15.5,18.6,12.5,24.7,16,4,17,3.9,19,4.4,23,5,21,4.9,20,5.2,20,5.9,17,5.1,18,5.4,25,6.9,21,4.3,21,3.2,17,2.3,24,2.7,21,2,20,2.1,18,2.1,14,1.9,13,1.8,13,1.6,20,2.8,17,2.3,16,1.9,14,1.7,67525,93.4
48323,TX,Maverick,13120,4240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,18.8,26.8,29.2,21.2,37.2,2506,15.1,2920,17.6,3380,19.6,3284,17.7,2779,14.9,2586,13.5,2555,13,2303,11.6,2225,10.7,3252,14.3,3587,15.2,3460,14.4,2901,12.4,2973,12.6,2594,11.1,2540,10.7,2730,11.3,2238,9.4,1927,8.2,1782,7.6,3670,15.1,2928,12.3,1879,8,1780,7.5,43407,60.1
48371,TX,Pecos,3160,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,17,25.4,24,17.2,30.8,358,5.1,356,5.1,455,6.3,456,6.2,425,6,347,5.2,316,4.7,280,4.3,316,4.5,722,8.6,528,7.3,446,6.2,356,5.1,365,5.5,288,4.2,357,5.2,382,5.9,293,4.7,234,3.7,208,3.3,528,8.3,430,6.9,258,4.1,223,3.6,54003,74.7
48377,TX,Presidio,1740,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,17.9,27.9,35.2,24.6,45.8,537,16.8,509,15.4,536,15.7,567,15.7,502,14.3,363,11.1,344,10.7,291,9.1,350,10.5,604,16.1,695,18.5,592,15.6,504,13.2,486,13,402,11.8,334,10.7,330,10.7,287,9.5,211,7,199,6.4,475,14.9,316,10.2,194,6.2,190,6.3,43666,60.4
48385,TX,Real,660,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11.9,19.5,34.2,23.1,45.3,62,4.5,73,5.6,89,6.7,88,6.4,73,5.3,67,5.1,67,5,54,3.9,55,3.8,85,5.5,104,9.1,115,10.1,99,9.3,86,8.1,67,6.3,55,5.2,59,5.7,60,5.7,52,5,41,3.9,70,6.5,68,5.9,54,4.7,56,5.1,49467,68.4
48389,TX,Reeves,2510,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,13.4,21.8,23.6,16.2,31,450,8.9,366,7.3,707,14,541,11.4,378,8.6,320,7.5,257,6.2,216,5.3,242,5.8,535,11.4,510,8.9,456,8.2,356,6.7,326,5.8,235,4.1,274,4.8,321,5.3,250,3.6,195,2.1,195,1.8,632,7.2,492,5.8,295,3.5,283,3.1,53969,74.7
48427,TX,Starr,18350,6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,24.1,33.5,37,28.1,45.9,3007,16.9,2952,15.8,3312,16.6,3376,16,3091,14.5,2806,13.2,2526,11.8,2294,10.8,2547,11.4,4010,16.4,4536,17.4,4370,16.7,3750,14.4,3966,15.1,3589,13.8,3516,13.6,3528,13.4,3076,11.9,2545,10.2,2468,9.9,4569,17.5,3988,15.6,2729,11,2286,9.3,35758,49.5
48435,TX,Sutton,560,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,10.1,16.7,18.8,12.9,24.7,84,3.9,75,3.3,91,3.8,85,3.4,76,2.9,77,2.8,76,2.7,67,2.2,69,2,245,7.1,196,9.8,139,7.1,97,4.8,95,4.6,73,3.6,105,6.1,127,8,77,5.1,56,3.9,53,3.8,119,9.8,94,8.1,59,5.7,60,5.8,68838,95.2
48443,TX,Terrell,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,14.1,23.1,21.5,14.6,28.4,20,3.9,25,5.1,29,5.9,36,7.2,25,6,27,7,22,5.7,18,5,22,6.6,35,9.1,34,6.8,33,6.4,25,4.6,26,5,22,4.6,21,4.8,17,4.2,18,4.6,13,3.5,13,3.5,17,4.5,14,3.4,15,3.7,13,3.5,47969,66.4
48463,TX,Uvalde,5590,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16.3,25.7,32.4,22.8,42,660,5.8,735,6.5,859,7.4,929,7.7,854,7.1,721,6.1,685,6,584,5.3,642,5.7,916,7.9,1065,9,1113,9.2,942,7.9,841,7.1,674,5.8,594,5.1,629,5.3,548,4.7,490,4.3,431,3.8,725,6.4,625,5.5,501,4.4,474,4.2,48427,67
48465,TX,Val Verde,9620,2730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,16.3,24.1,30.1,22.9,37.3,1104,6.4,1111,6.3,1344,7.1,1538,7.9,1405,7.1,1330,6.6,1225,6.1,1114,5.5,1188,5.8,1933,9.2,1928,9.3,1900,9.3,1513,7.6,1460,7.5,1127,5.8,1183,6,1260,6.3,1022,5.1,869,3.9,758,3.3,1792,8.3,1306,5.9,1016,4.6,1212,5.5,52593,72.8
48479,TX,Webb,55710,18170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,19.9,25.1,31.6,26.7,36.5,4383,6.2,4790,6.5,5647,7.2,5988,7.4,5593,6.7,5224,6.1,4817,5.5,4257,4.8,4949,5.4,8019,8.5,8732,8.3,8273,7.7,7012,6.4,6805,6.2,5720,5.2,5334,4.8,5583,4.9,4851,4.2,4385,3.8,4361,3.7,9809,8.5,7274,6.3,4899,4.2,4818,4,56289,77.9
48489,TX,Willacy,4710,1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,21.5,34.1,34.9,23.8,46,731,10,791,10.9,914,12.6,906,11.9,839,11.3,726,9.6,703,9.2,620,8.2,687,8.9,999,11.9,1132,14.5,1311,16.9,1163,15.7,1180,15.9,899,12.5,887,13.1,798,12.3,698,11.1,631,9.9,536,8.2,789,12,713,10.1,599,8.2,554,7.8,41648,57.6
48505,TX,Zapata,3760,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,24.5,36.3,43.9,31.7,56.1,325,8.1,302,7.3,388,8.7,416,8.8,358,7.3,343,6.7,305,6.2,266,5.4,286,5.5,578,10.8,602,10.4,540,8.4,428,6.3,443,6.3,365,5.3,476,7.7,562,10.8,402,7.5,297,5.6,257,5.1,571,12.2,535,11.7,322,7,283,6.4,39403,54.5
48507,TX,Zavala,2710,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,22.5,35.3,42.5,30.4,54.6,469,12.6,498,13.3,566,14.4,581,13.9,504,12.5,452,11.7,447,11.9,399,10.7,390,10.7,568,14.4,636,13.9,666,14.5,588,13.4,585,14.6,479,12.3,429,11.3,540,13.9,417,11.3,342,9.7,281,8.5,484,14.3,407,12.4,295,8.7,254,7.3,36237,50.1
